| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   | -32123 |  0  |      0 |
| 3    | -32123 |  0  |      0 |
| 3+   |  11111 |  0  |      0 |
| 4    |  11111 |  0  |      0 |
| 4+   | -32123 |  1  |      0 |
| 5    | -32123 |  1  | -32123 |
| 5+   | -32123 |  1  | -32123 |
| 6    | -32123 |  1  | -32123 |
| 6+   | -32123 |  0  | -32123 |
| 7    | -32123 |  0  | -32123 |
| 7+   |  12345 |  1  | -32123 |
| 8    |  12345 |  1  |  12345 |
| 8+   |      0 |  0  |  12345 |
| 9    |      0 |  0  |  12345 |
| 9+   |      0 |  1  |  12345 |
| 10   |      0 |  1  |      0 |
| 10+  |      1 |  0  |      0 |
| 11   |      1 |  0  |      0 |
| 11+  |      1 |  1  |      0 |
| 12   |      1 |  1  |      1 |
| 12+  |      2 |  0  |      1 |
| 13   |      2 |  0  |      1 |
| 13+  |      2 |  1  |      1 |
| 14   |      2 |  1  |      2 |
| 14+  |      4 |  0  |      2 |
| 15   |      4 |  0  |      2 |
| 15+  |      4 |  1  |      2 |
| 16   |      4 |  1  |      4 |
| 16+  |      8 |  0  |      4 |
| 17   |      8 |  0  |      4 |
| 17+  |      8 |  1  |      4 |
| 18   |      8 |  1  |      8 |
| 18+  |     16 |  0  |      8 |
| 19   |     16 |  0  |      8 |
| 19+  |     16 |  1  |      8 |
| 20   |     16 |  1  |     16 |
| 20+  |     32 |  0  |     16 |
| 21   |     32 |  0  |     16 |
| 21+  |     32 |  1  |     16 |
| 22   |     32 |  1  |     32 |
| 22+  |     64 |  0  |     32 |
| 23   |     64 |  0  |     32 |
| 23+  |     64 |  1  |     32 |
| 24   |     64 |  1  |     64 |
| 24+  |    128 |  0  |     64 |
| 25   |    128 |  0  |     64 |
| 25+  |    128 |  1  |     64 |
| 26   |    128 |  1  |    128 |
| 26+  |    256 |  0  |    128 |
| 27   |    256 |  0  |    128 |
| 27+  |    256 |  1  |    128 |
| 28   |    256 |  1  |    256 |
| 28+  |    512 |  0  |    256 |
| 29   |    512 |  0  |    256 |
| 29+  |    512 |  1  |    256 |
| 30   |    512 |  1  |    512 |
| 30+  |   1024 |  0  |    512 |
| 31   |   1024 |  0  |    512 |
| 31+  |   1024 |  1  |    512 |
| 32   |   1024 |  1  |   1024 |
| 32+  |   2048 |  0  |   1024 |
